answer,question
Photosynthesis,"Photosynthesis is the process by which plants and other things make food. It is a chemical process that uses sunlight to turn carbon dioxide into sugars the cell can use as energy.  As well as plants, many kinds of algae, protists and bacteria use it to get food. Photosynthesis is very important for life on Earth. Most plants either directly or indirectly depend on it. The exception are certain organisms that directly get their energy from chemical reactions; these organisms are called chemoautotrophs."
Huntington's disease,"On Chorea with photo.jpg|thumb|250px |In 1872 George Huntington described the disorder in his first paper ""On Chorea"" at the age of 22."
Hypha,"The mycelium is the part of a fungus that is usually underground (or inside some another substance). It is composed of hyphae, which look like threads, or rootlets. The mat of hyphae may be very thickly woven. The fungus uses it to extract nutritients. The hyphae are usually syncytic, that is, they do not have complete cell walls. Fungal colonies composed of mycelium are found in and on soil and many other natural materials."
Oxytocin,"Oxytocin is a hormone found in mammals. It acts on the brain. In humans it is released during female reproduction, especially during and after childbirth."
Duodenum,The duodenum is a short section of the small intestine that receives secretions from the pancreas and liver via the pancreatic and common bile ducts.
Placenta,The placenta is a temporary organ found in eutherian female mammals while they are pregnant.
Lyme disease,"Lyme disease or borreliosis, is an infectious disease. It is caused by bacteria of the genus Borrelia. The disease is carried by ticks which are parasitic on mammals such as mice and deer. In other words, ticks are the vector which transmits the disease."
Fragile X syndrome,"Fragile X syndrome (FXS) is a genetic syndrome that causes a range of intellectual disabilities as well as unusual physical and behavioural characteristics. It is one of the most common causes of autism and mental retardation among boys. Basically, these individuals lack an important gene product."
Adenine,Adenine is one of the basic molecules which form DNA and RNA. They are usually called bases in genetics.
Tetanus,Tetanus is a disease that leads to muscle contractions that stay that way for some time.
Asthma,"Asthma (or Asthma bronchiale) is a disease that hurts the airways inside the lungs. It causes the tissue inside the airways to swell. Asthma also causes the bands of muscle around the airways to become narrow.  This makes it hard for enough air to pass through and for the person to breathe normally. Asthma also causes mucus-making cells inside the airways to make more mucous than normal.  This blocks the airways, which are already very narrow during an asthma attack, and makes it even more difficult to breathe."
Tibia,"The tibia, shinbone, or shankbone is the larger and stronger of the two bones in the leg below the knee in vertebrates. It connects the knee with the ankle bones."
Ribosome,"Ribosomes are important cell organelles. A ribosome is a large complex of RNA and protein. It does RNA translation, building proteins from amino acids using messenger RNA as a template. Ribosomes are found in all living cells, prokaryotes as well as eukaryotes."
Testosterone,Testosterone is an androgen sex hormone. A hormone is one that is made from cholesterol. A sex hormone is one that regulates sexual changes in the body. An androgen is the male type of sex hormone.
Metastasis,"Metastasis is what happens when cancer spreads from its original place to another part of the body.  Cancer cells spread from the original site to other places in the body by traveling through the bloodstream. When the cancer cells stick to a new place in the body, they grow and form another tumor there."
Stomach,The stomach is part of the digestive system. It is a big sack between the oesophagus and the small intestines. The stomach is the third stage in the digestive process. It holds food after ingestion. Food in the stomach then passes through to the small intestine where most of the food's nutrition is absorbed.
Vitamin B12,"Vitamin B12 (or vitamin B-12) is also called cobalamin. It has a key role in the normal functioning of the brain and nervous system, and for the formation of blood. It is one of the eight B vitamins."
Aspirin,"Aspirin (acetylsalicylic acid) is a drug. It is most commonly used as a pain killer, or to reduce fever or inflammation.  It also has an anti-platelet effect - it reduces the number of platelets in the blood which reduces blood clotting- in that function it is used to prevent heart attacks.  Aspirin is one of the most-used medical drugs in the world."
Cysteine,Cysteine (abbreviated as Cys or C) is an α-amino acid. It has the chemical formula HO2CCH(NH2)CH2SH.
Meristem,A meristem is a tissue in plants made of dividing cells. They are in parts of the plant where growth can take place.
Cortisol,"Cortisol also called the stress hormone, is in the adrenal gland. Cortisol's purpose is to help the body:"
Cornea,"The cornea is the front part of the eye. It is the clear transparent section of the eye which that covers the iris, pupil, and the eye chamber. It is a very special form of tissue because the cornea is clear, has no blood vessels, and has nerves with no myelin sheaths on them."
Atherosclerosis,"Arteriosclerosis is a general term for a hardening of the walls of a person's larger arteries. There are various types; arteriolosclerosis, medial calcific sclerosis and arteriosclerosis obliterans. It is often seen in people with high blood pressure."
